EmployeeID,Age,Gender,Country,JobRole,Department,YearsAtCompany,TeamSize,SalaryRange,WorkHoursPerWeek,RemoteWork,CommuteTime,ScheduleFlexibilityScore,CanAdjustWorkHours,DependentsCount,CareHoursPerWeek,JobSatisfaction,StressLevel,SleepHours,PhysicalActivityHrs,HasMentalHealthSupport,HasTherapyAccess,MentalHealthDaysTaken,ManagerSupportScore,FeelsSafeRaisingConcerns,WorkplaceInclusionScore,ProductivityScore,CareerGrowthScore,WorkLifeBalanceScore,BurnoutRisk
1017,59,Female,UK,HR,HR,18,6,Low,35,0,1,4,1,0,10,3,7,6.4,1.5,1,1,2,1,0,10,4,1,5,1
1018,23,Female,Germany,Analyst,Tech,9,9,Medium,50,1,100,4,1,2,22,6,10,7.9,5.7,1,1,10,2,0,7,2,1,9,1
1019,42,Female,Canada,Designer,Finance,17,18,Medium,45,1,118,4,1,0,38,1,2,5.2,4.4,1,1,13,4,1,2,4,10,2,1
1020,54,Female,Canada,HR,Finance,29,8,Low,62,0,82,2,1,1,8,9,3,5.4,0.8,1,0,3,10,1,3,9,2,10,0
1021,33,Female,USA,HR,Tech,24,8,Low,59,1,27,9,1,2,17,5,4,6.5,0.6,0,1,2,5,0,6,10,1,5,0
1022,43,Female,Canada,Analyst,HR,20,4,Low,50,0,14,1,0,0,35,5,3,6.1,5.1,1,1,6,7,0,6,2,3,1,1
1023,46,Female,Canada,Analyst,Operations,9,10,Medium,32,1,0,8,1,1,39,4,3,6.8,4.8,1,1,8,4,1,10,10,3,5,0
1024,48,Female,UK,Developer,HR,4,9,Low,54,1,106,6,0,1,35,4,9,8.2,4.0,0,0,3,1,1,9,10,4,4,1
1025,49,Female,UK,Designer,HR,16,16,Low,59,1,27,10,0,0,27,1,4,8.2,1.2,1,1,8,8,1,2,6,6,4,0
1026,37,Female,USA,Developer,Tech,21,11,Low,35,1,49,7,1,1,18,9,8,5.4,2.9,0,1,1,3,1,7,4,10,4,1
1027,36,Female,India,HR,Finance,12,17,Low,49,0,34,5,1,0,29,9,1,5.7,3.6,0,1,1,9,0,1,8,7,3,0
1028,24,Female,USA,Analyst,Tech,22,24,High,56,1,95,6,1,0,37,4,6,5.1,5.6,0,0,8,2,1,6,4,9,6,1
1029,58,Female,USA,HR,HR,16,20,Low,49,0,27,6,1,2,14,10,1,8.2,1.0,0,0,14,1,0,9,9,8,3,0
1030,28,Female,Germany,HR,Operations,8,14,Medium,37,1,8,9,1,1,11,10,5,6.1,3.1,0,0,6,10,1,8,10,6,6,0
1031,42,Female,Germany,Manager,Operations,23,21,Medium,50,1,23,10,1,2,1,4,7,6.3,0.9,1,0,4,8,0,6,3,9,6,0
1032,30,Female,USA,Manager,Operations,11,15,High,43,1,62,4,0,0,8,7,1,7.7,2.7,1,0,4,3,1,6,7,4,10,0
1033,39,Female,USA,HR,Tech,13,9,Low,56,1,3,5,1,2,34,4,9,6.6,1.2,1,1,12,1,1,6,5,6,2,1
1034,25,Female,USA,Analyst,Finance,13,12,Low,32,1,55,4,1,3,0,1,9,5.0,5.0,1,1,8,3,1,8,1,7,9,0
1035,46,Female,Canada,HR,Tech,7,12,Low,36,0,108,1,0,1,30,9,6,6.3,1.5,1,0,10,8,0,2,3,2,10,0
1036,35,Female,Germany,Manager,Operations,22,4,Low,32,0,40,10,0,2,27,2,2,7.0,2.5,0,1,3,4,1,9,9,1,8,0
1037,30,Female,USA,Analyst,HR,4,16,Medium,39,0,66,6,0,0,36,5,2,7.4,2.4,1,1,10,10,0,10,9,10,7,0
1038,47,Female,UK,HR,Finance,18,15,Low,49,1,47,5,1,1,6,4,9,7.1,5.2,0,1,13,7,1,8,5,8,9,0
1039,23,Female,UK,Designer,Tech,27,24,Low,40,1,85,4,0,3,15,8,4,5.0,4.5,1,1,0,8,1,2,5,8,8,0
1040,41,Female,Canada,Designer,Tech,13,8,High,36,1,103,6,1,2,13,6,6,5.7,0.3,0,1,5,7,1,8,4,7,9,0
1041,49,Female,Canada,HR,Finance,8,11,Medium,35,1,57,5,1,1,32,7,10,7.4,0.4,1,0,14,1,0,1,4,9,8,1
1042,28,Female,India,Analyst,Finance,29,15,Low,60,1,38,3,1,3,5,2,2,8.0,3.3,0,1,13,4,0,6,4,9,3,0
1043,29,Female,India,HR,HR,6,11,Low,32,0,118,2,0,0,20,4,4,4.7,2.6,1,0,2,10,1,6,2,3,10,0
1044,56,Female,India,HR,Finance,26,15,Low,61,0,112,6,1,2,9,4,2,4.7,1.7,0,1,14,9,1,9,7,1,1,0
1045,35,Female,Canada,Manager,HR,25,7,High,32,0,24,4,0,0,31,2,3,7.1,4.8,1,1,13,7,0,9,3,9,6,0
1046,38,Female,Canada,Designer,Operations,25,16,High,34,1,59,10,0,2,5,10,2,6.7,0.8,1,0,1,1,1,5,1,1,3,0
1047,57,Female,Canada,Manager,Operations,7,7,High,53,0,111,3,0,0,1,4,8,5.1,5.8,0,1,3,8,0,1,10,1,3,1
1048,25,Female,UK,Manager,Tech,13,11,High,39,1,116,8,1,3,38,9,5,6.7,0.1,0,0,8,4,0,1,3,5,6,0
1049,23,Female,Canada,HR,Operations,21,10,Medium,49,1,85,9,0,2,26,8,5,8.4,0.7,0,0,7,7,0,7,9,2,10,0
1050,27,Female,UK,Manager,Operations,27,9,Low,56,1,113,7,0,0,13,1,8,7.0,1.9,1,0,11,6,0,4,9,2,9,0
1051,25,Female,India,Designer,HR,13,10,Medium,51,0,111,2,0,2,22,8,8,6.3,3.1,0,1,14,7,1,9,10,5,5,1
1052,50,Female,India,Manager,Tech,10,24,Medium,62,0,46,8,1,2,38,9,7,7.8,1.3,1,0,12,10,1,3,7,7,1,1
1053,39,Female,India,Designer,Finance,13,5,High,61,0,97,5,1,0,20,8,5,5.4,4.4,1,1,12,10,0,6,1,6,10,0
1054,47,Female,USA,Manager,Tech,20,17,Medium,47,1,60,10,0,0,29,10,7,6.2,2.1,0,1,6,1,0,9,6,5,7,0
1055,55,Female,USA,Designer,Operations,7,10,Medium,33,0,83,7,0,1,24,1,1,6.6,0.2,0,1,1,6,0,4,10,3,9,0
1056,31,Female,Germany,Manager,Finance,2,3,High,48,1,99,5,1,0,23,8,3,6.5,5.3,1,1,0,3,0,5,1,9,10,0
1057,57,Female,Germany,Manager,Tech,27,9,Low,41,1,100,2,0,1,10,5,3,8.2,5.7,1,1,12,10,0,5,2,8,2,0
1058,35,Female,Germany,Analyst,Tech,28,21,High,38,0,102,4,0,1,34,9,2,5.7,3.7,0,0,11,4,0,5,3,3,9,0
1059,52,Female,USA,Designer,Tech,28,4,Low,40,1,26,5,0,1,3,9,6,4.7,4.8,1,0,6,1,0,2,6,7,5,1
1060,36,Female,USA,Designer,Tech,22,16,Medium,48,1,110,6,1,1,36,6,3,8.2,0.7,1,1,11,10,1,2,7,3,1,0
1061,29,Female,Germany,Designer,HR,17,20,Low,40,1,112,5,1,3,35,3,4,5.4,1.6,0,1,9,8,0,1,8,6,4,0
1062,35,Female,Germany,Developer,Tech,2,17,Medium,40,0,95,10,0,2,12,7,3,6.0,2.0,1,0,13,2,1,1,9,3,8,0
1063,44,Female,Canada,Manager,Operations,12,16,Medium,55,0,41,1,0,2,8,3,7,6.6,5.8,0,1,4,3,0,4,7,8,3,1
1064,42,Female,Germany,Designer,Operations,11,21,Low,42,0,51,1,1,1,27,7,4,8.4,3.1,0,0,10,7,1,3,6,3,5,0
1065,37,Female,Canada,Developer,HR,14,21,High,39,0,92,3,1,0,15,8,5,6.6,0.0,0,1,7,2,1,4,5,5,2,1
1066,39,Female,UK,Analyst,Finance,17,24,Medium,56,1,104,9,1,0,5,5,7,6.3,2.3,1,1,4,4,1,6,10,3,5,0
1067,45,Female,USA,Designer,Finance,4,19,Medium,33,1,47,2,0,2,26,5,4,6.8,0.0,1,1,9,7,0,1,2,8,9,0
1068,47,Female,Germany,Designer,Operations,6,24,Low,41,1,31,10,1,1,9,4,6,8.4,1.4,1,1,4,3,0,8,8,10,3,0
1069,46,Female,USA,Developer,Operations,10,21,High,55,0,23,5,0,1,22,3,9,7.8,2.7,0,1,14,2,1,8,5,9,7,1
1070,50,Female,USA,Manager,HR,25,18,Low,47,0,2,9,1,3,20,8,6,5.2,1.9,1,1,7,8,1,7,10,6,6,0
1071,36,Female,USA,Analyst,Finance,26,22,Low,50,1,117,7,0,1,25,6,5,7.7,0.2,0,1,8,2,0,4,2,10,2,1
1072,22,Female,UK,Designer,Finance,10,21,Low,62,0,26,8,0,3,2,6,1,7.9,0.7,1,0,1,10,1,8,3,4,7,0
1073,46,Female,India,Manager,Tech,26,3,Medium,42,0,72,2,1,3,34,2,8,7.3,3.3,0,0,7,7,1,9,10,10,10,0
1074,28,Female,Germany,Analyst,Tech,14,21,High,37,1,39,5,1,0,6,4,5,7.1,4.2,1,1,6,3,1,5,10,4,4,0
1075,30,Female,India,HR,Tech,9,9,Low,37,0,22,9,0,3,26,5,5,6.3,2.4,0,0,7,4,0,6,7,5,6,0
1076,45,Female,India,HR,HR,14,13,Low,63,1,6,1,0,0,32,10,3,7.1,4.4,1,0,14,6,0,10,10,3,7,0
1077,22,Female,India,Analyst,Operations,12,7,High,44,0,80,1,1,3,3,5,10,7.5,1.0,1,1,14,3,1,8,8,4,9,1
1078,29,Female,USA,Developer,HR,13,19,Medium,34,1,36,10,1,1,25,3,2,5.0,0.7,1,1,2,1,1,5,5,4,7,0
1079,45,Female,Canada,Analyst,Finance,16,13,Medium,48,1,6,8,1,2,7,10,1,5.5,5.0,1,0,3,8,0,4,10,1,3,0
1080,32,Female,USA,Analyst,Operations,12,10,Low,34,0,93,2,1,2,19,5,9,5.3,2.0,0,0,6,4,1,8,8,1,9,1
1081,38,Female,USA,Developer,Tech,9,12,Medium,43,1,76,9,0,1,16,5,5,7.9,2.6,1,1,4,1,1,3,10,9,6,0
1082,29,Female,India,Developer,HR,24,14,Low,55,1,81,10,1,2,4,2,10,7.2,5.7,0,1,6,2,0,6,10,3,4,1
1083,56,Female,USA,Manager,HR,0,12,High,37,1,94,9,0,3,8,5,4,6.3,2.5,0,1,5,6,1,9,6,5,10,0
1084,56,Female,India,Manager,Tech,0,15,Medium,42,0,21,4,1,3,7,3,7,7.8,0.0,1,0,3,1,1,6,2,2,5,1
1085,54,Female,Canada,Developer,HR,29,20,Medium,58,1,77,2,1,2,6,3,4,7.4,5.6,0,1,14,9,1,9,2,1,10,0
1086,26,Female,Germany,HR,Tech,14,12,Low,55,0,81,3,1,2,36,5,2,8.2,0.1,0,1,1,7,0,8,8,7,1,0
1087,49,Female,India,HR,Finance,15,21,Low,49,1,98,10,0,0,35,9,9,4.8,4.0,0,1,11,8,1,9,4,10,4,1
1088,28,Female,Canada,Analyst,Operations,11,22,Low,58,1,16,1,0,2,2,2,8,6.5,1.9,1,0,5,8,0,10,8,9,3,1
1089,30,Female,Germany,Designer,Finance,25,19,Low,52,1,18,3,1,2,7,9,4,7.3,2.8,1,0,5,6,1,9,9,4,6,0
1090,29,Female,UK,Analyst,Finance,23,22,Low,64,1,94,5,0,2,4,3,8,5.3,3.3,0,1,13,8,1,8,6,4,9,0
1091,33,Female,India,Analyst,Tech,5,18,Medium,49,0,38,3,1,2,4,7,9,5.8,2.5,1,1,5,7,1,9,9,3,3,1
1092,55,Female,India,Designer,HR,5,7,Low,34,0,116,3,1,0,16,1,2,6.2,4.6,1,1,0,1,1,7,6,3,5,0
1093,54,Female,UK,Developer,Finance,11,5,Medium,55,1,35,10,0,0,26,1,4,7.7,5.6,0,1,5,3,0,7,3,2,2,0
1094,44,Female,UK,HR,Finance,24,17,Low,32,1,14,6,0,0,39,8,6,6.5,0.5,1,1,1,9,1,4,8,3,9,0
1095,45,Female,India,Analyst,Finance,14,4,Low,37,0,62,3,1,1,38,9,7,6.5,4.8,1,0,9,8,1,1,1,5,8,0
1096,58,Female,UK,Designer,HR,3,15,Medium,50,1,28,3,0,0,11,3,5,6.2,0.8,0,1,4,5,1,7,6,8,10,0
1097,56,Female,USA,Manager,HR,23,24,Medium,53,1,59,9,1,2,27,6,10,5.4,0.5,1,1,6,1,1,8,3,8,4,1
1098,43,Female,Germany,Analyst,Tech,3,10,Medium,39,1,55,2,1,0,3,3,10,8.2,5.7,0,1,9,2,1,9,10,5,8,1
1099,48,Female,Germany,HR,Finance,29,19,Low,36,0,39,1,0,1,27,6,7,5.8,2.9,0,1,0,10,0,1,10,1,10,0
1100,56,Female,Germany,Developer,Operations,1,6,Medium,40,0,15,10,1,0,24,7,4,6.8,0.9,1,0,4,10,0,9,3,10,4,0
1101,22,Female,USA,Analyst,HR,26,21,Medium,52,1,32,8,1,1,35,5,8,5.1,3.4,1,0,8,9,0,7,9,2,2,1
1102,56,Female,UK,Analyst,Tech,23,24,Low,59,1,88,3,1,0,2,3,3,6.2,1.6,1,0,2,10,1,7,7,8,9,0
1103,58,Female,Canada,Designer,Finance,11,11,Medium,35,1,15,7,1,2,30,8,3,8.1,2.8,1,1,12,8,1,3,2,10,2,0
1104,35,Female,UK,Manager,Operations,6,17,Medium,55,0,29,2,1,0,36,5,5,8.5,3.7,1,1,1,9,0,1,6,9,1,1
1105,24,Female,India,Manager,HR,19,11,Low,39,1,97,8,0,0,11,1,6,5.9,5.2,1,0,9,2,1,7,4,7,1,1
1106,22,Female,Germany,Developer,Operations,8,23,High,48,1,65,9,0,3,36,9,3,5.1,0.0,0,0,1,3,1,10,10,9,3,0
1107,26,Female,UK,HR,HR,8,11,Medium,51,0,103,8,0,0,36,3,10,5.8,1.3,1,1,2,3,0,8,7,9,10,1
1108,47,Female,Canada,Developer,Tech,7,16,Low,47,1,43,8,1,2,3,2,2,5.8,0.6,1,0,0,1,1,6,4,6,7,0
1109,35,Female,India,Analyst,Operations,13,23,Medium,41,1,106,8,0,3,29,3,5,7.1,0.6,1,0,1,2,0,7,7,6,6,0
1110,48,Female,USA,Analyst,Finance,0,18,Low,41,1,37,7,1,1,37,7,10,6.5,5.7,1,1,5,10,0,9,6,7,3,1
1111,30,Female,USA,Manager,Finance,22,19,High,61,1,50,2,0,1,37,10,6,7.6,5.6,0,0,7,5,1,8,8,1,5,1
1112,36,Female,Canada,HR,HR,20,15,Medium,61,1,59,8,1,1,26,8,3,7.3,4.5,1,1,3,7,1,5,7,9,10,0
1113,36,Female,India,Designer,Finance,22,11,Low,56,1,17,5,1,1,21,2,7,5.5,3.9,0,0,13,6,1,4,9,1,6,1
1114,47,Female,Germany,HR,Operations,11,17,Low,38,1,4,6,1,1,0,7,3,7.6,5.1,1,1,14,2,1,4,4,8,10,0
1115,34,Female,UK,Analyst,Tech,24,9,Low,51,1,110,4,1,0,37,5,2,7.9,0.4,1,1,1,8,1,4,9,10,2,0
1116,53,Female,India,Designer,HR,1,3,Medium,48,0,39,1,1,1,19,9,10,6.9,0.7,0,0,4,4,0,2,5,2,3,1
1117,53,Female,USA,HR,Operations,12,3,Medium,34,1,5,5,0,2,17,7,4,8.2,1.9,1,1,12,2,1,10,9,10,4,0
1118,25,Female,Canada,HR,HR,29,7,Low,57,1,75,3,1,0,5,1,3,7.6,5.0,1,0,11,4,1,10,4,7,8,0
1119,51,Female,Canada,Designer,Tech,26,11,Low,41,0,114,9,1,2,11,1,7,6.9,2.8,1,1,14,8,1,7,3,5,1,0
1120,58,Female,UK,Analyst,HR,3,14,Low,45,1,11,4,1,2,16,6,8,8.1,3.0,0,1,14,1,0,8,7,8,9,0
1121,44,Female,Canada,HR,Finance,19,8,Low,39,0,11,10,1,0,21,9,3,6.9,1.4,1,1,2,9,0,7,4,10,1,0
1122,36,Female,Canada,Designer,Finance,17,15,Low,58,1,72,2,0,0,17,1,6,6.6,3.9,1,0,4,8,1,10,5,7,3,1
1123,50,Female,India,Analyst,HR,18,10,Medium,41,0,119,4,1,1,9,3,1,5.9,5.3,1,0,2,8,1,8,3,8,3,0
1124,57,Female,Germany,Designer,Tech,15,17,Medium,46,0,105,3,0,2,23,5,5,8.0,2.0,0,1,10,10,1,9,6,2,9,0
1125,34,Female,UK,Designer,Tech,26,8,High,53,1,21,3,1,1,19,4,2,5.0,3.7,1,0,3,9,1,8,4,10,3,0
1126,53,Female,India,HR,Finance,13,8,High,62,1,48,5,0,2,11,1,1,6.4,2.0,1,1,4,7,1,5,1,9,3,0
1127,28,Female,Germany,Analyst,Tech,29,6,Medium,33,1,49,1,0,2,3,10,7,6.6,4.8,1,0,13,9,1,4,2,6,2,1
1128,43,Female,India,HR,HR,28,13,Medium,62,1,79,5,1,2,4,4,10,6.7,2.8,0,0,6,1,1,5,8,6,4,1
1129,49,Female,India,Developer,Operations,7,23,High,45,1,3,8,1,0,25,4,4,7.1,2.0,0,0,1,1,1,1,4,6,8,0
1130,23,Female,Canada,Developer,HR,11,20,Low,41,1,49,10,1,1,35,10,5,6.5,2.5,1,1,5,4,1,5,10,1,6,0
1131,27,Female,Germany,Analyst,Finance,8,5,Low,61,1,2,9,0,0,15,4,2,5.5,0.5,1,1,5,2,0,6,2,7,1,0
1132,49,Female,UK,Designer,Finance,5,5,Low,46,1,15,1,1,0,4,3,8,7.9,5.2,1,0,5,8,0,9,4,2,5,0
1133,49,Female,UK,HR,Finance,25,14,Medium,45,0,13,2,1,1,25,7,10,7.1,5.7,0,0,6,1,1,9,7,2,10,1
1134,41,Female,Germany,HR,Tech,17,23,Medium,62,1,63,2,0,2,18,1,3,7.9,2.9,0,0,10,4,0,10,2,5,8,0
1135,51,Female,Canada,Analyst,HR,1,23,Low,60,0,119,6,0,3,5,2,7,5.6,1.3,0,0,2,9,0,3,6,6,1,1
1136,32,Female,USA,Analyst,Operations,22,8,Medium,58,1,40,1,0,1,23,1,1,7.0,4.0,0,1,12,2,1,8,1,1,6,0
1137,49,Female,India,Developer,HR,7,23,Medium,52,0,101,1,1,1,30,4,10,7.4,2.7,1,1,4,6,1,8,3,1,7,1
1138,46,Female,Canada,Manager,Operations,23,8,Low,40,1,67,2,1,0,30,5,1,6.0,1.5,0,1,13,4,0,9,9,1,5,0
1139,54,Female,Germany,Analyst,HR,13,10,Low,51,1,58,4,0,2,6,10,7,7.7,0.2,1,1,11,4,1,1,5,7,4,1
1140,22,Female,India,Manager,Finance,5,17,Low,46,1,1,2,0,1,9,5,1,4.5,5.3,1,1,8,6,1,5,8,1,7,0
1141,48,Female,UK,Analyst,Operations,9,20,Low,55,1,118,4,0,1,38,2,9,6.9,4.8,0,1,13,10,1,5,1,9,9,0
1142,34,Female,USA,Designer,HR,7,22,High,47,1,9,3,1,1,21,3,9,7.0,5.0,1,1,13,4,1,7,4,3,4,1
1143,24,Female,UK,Designer,Tech,29,18,High,42,0,74,3,1,2,13,4,8,6.6,2.6,1,1,14,9,1,8,3,10,3,1
1144,27,Female,Germany,Developer,Tech,16,8,High,39,1,102,9,1,0,27,10,8,7.0,4.5,1,0,14,8,1,7,10,2,10,0
1145,29,Female,India,Developer,HR,24,23,Medium,34,1,89,8,0,1,21,6,4,5.2,3.5,1,1,8,8,0,6,9,6,4,0
1146,48,Female,Germany,Manager,Finance,28,19,Medium,50,1,100,10,1,1,31,6,4,7.2,2.2,0,1,6,5,0,4,7,2,5,0
1147,30,Female,India,Analyst,Operations,11,11,Medium,34,0,25,9,1,0,10,2,5,5.8,5.1,1,1,8,6,0,9,3,5,9,0
1148,58,Female,Canada,HR,HR,16,21,Medium,56,1,3,1,1,0,13,2,9,6.3,6.0,0,1,2,1,1,2,1,5,1,1
1149,54,Female,USA,Developer,Tech,12,20,Medium,42,1,89,5,1,3,30,9,3,5.8,5.4,1,0,11,1,1,6,5,9,9,0
1150,45,Female,Canada,HR,Operations,18,7,Medium,47,1,101,4,0,3,3,2,4,6.4,4.7,1,0,6,9,1,10,10,4,9,0
1151,36,Female,Canada,HR,Tech,11,8,Low,48,1,27,9,1,0,21,2,10,7.0,4.5,1,1,0,4,0,6,3,8,8,0
1152,53,Female,Germany,Analyst,Tech,15,14,Medium,55,1,1,3,1,2,28,3,5,7.9,3.9,0,1,13,3,0,4,2,7,10,0
1153,53,Female,USA,Manager,HR,24,13,Low,48,0,65,5,1,1,34,9,7,6.4,5.1,0,1,12,5,0,3,3,7,8,0
1154,45,Female,India,Analyst,Tech,26,18,Medium,51,1,15,8,1,3,12,6,5,5.8,3.0,1,0,14,9,1,3,5,1,8,0
1155,33,Female,India,Developer,Operations,4,22,Medium,53,1,56,10,0,3,19,6,9,6.5,1.1,0,0,13,9,1,2,5,6,4,0
1156,23,Female,UK,HR,Finance,24,19,Low,37,0,22,5,0,1,18,10,6,7.3,4.6,1,0,6,3,1,3,10,6,7,0
1157,24,Female,India,Analyst,HR,15,22,High,38,0,22,9,1,0,14,5,3,5.9,5.5,1,1,2,7,1,4,8,10,2,0
1158,58,Female,Germany,Analyst,Operations,24,11,Low,45,0,76,2,0,1,25,7,6,6.2,2.0,0,1,2,3,1,10,4,8,3,1
1159,38,Female,Canada,Analyst,HR,5,3,Low,42,1,20,6,1,2,19,4,6,6.8,4.7,0,1,13,3,1,4,2,6,8,0
1160,23,Female,Canada,Developer,Tech,10,5,Low,43,0,102,5,1,3,35,10,10,5.7,1.6,0,1,6,4,0,10,8,8,4,1
1161,23,Female,Canada,Manager,Tech,16,23,High,36,1,24,9,1,1,5,10,1,5.3,5.7,1,1,7,2,1,7,8,6,10,0
1162,49,Female,USA,Analyst,Operations,25,11,Medium,36,0,57,7,1,2,14,3,7,5.1,4.1,1,0,12,6,1,4,10,8,6,0
1163,44,Female,India,Developer,Operations,22,24,Medium,51,1,36,8,1,2,3,7,3,5.9,3.4,0,0,3,5,1,9,8,5,8,0
1164,58,Female,Germany,HR,Finance,13,21,High,46,1,48,7,1,0,5,10,1,4.7,4.7,1,1,11,10,1,8,1,9,8,0
1165,53,Female,USA,Designer,Operations,5,15,Low,57,1,76,10,0,1,1,1,1,6.8,4.9,1,0,0,10,1,1,9,4,5,0
1166,54,Female,UK,Developer,Operations,24,16,Low,64,1,14,10,1,0,35,6,5,5.2,5.4,0,1,4,2,1,10,4,6,7,0
1167,22,Female,Germany,Designer,HR,22,22,Low,61,1,27,5,1,2,14,2,10,6.0,5.4,1,1,9,10,1,1,4,2,1,1
1168,40,Female,Germany,Analyst,Tech,29,21,Medium,55,0,66,5,1,2,11,2,10,5.6,0.3,1,0,3,2,0,6,8,3,5,1
1169,23,Female,Germany,Analyst,Operations,27,9,Medium,54,1,86,4,1,3,39,8,2,7.0,0.7,1,0,8,2,1,4,8,4,3,1
1170,47,Female,Canada,Developer,Finance,10,6,Low,40,0,3,2,0,3,6,3,2,7.9,5.0,1,0,2,4,0,10,6,3,4,0
1171,53,Female,Germany,Designer,Operations,11,14,Low,34,0,46,9,1,0,21,9,4,7.0,5.7,0,1,3,3,1,6,4,7,1,0
1172,27,Female,India,Analyst,Tech,12,16,Low,38,1,49,10,0,0,7,4,10,6.7,1.8,1,0,9,9,0,9,3,9,1,1
1173,53,Female,Germany,HR,Operations,3,4,Medium,53,0,59,10,0,2,10,6,7,7.2,0.1,0,0,2,5,0,10,5,6,3,0
1174,25,Female,Canada,Manager,HR,6,3,Low,45,1,61,10,0,2,1,1,8,4.6,1.9,1,1,2,1,1,5,8,3,4,1
1175,32,Female,Germany,Manager,Tech,1,20,Low,60,0,66,10,0,2,29,10,10,5.0,2.3,0,0,6,2,1,8,7,9,3,1
1176,38,Female,UK,Analyst,Operations,5,22,Low,47,1,102,3,1,0,3,10,7,4.9,4.6,1,0,4,7,1,2,8,1,2,1
1177,59,Female,UK,Designer,HR,5,10,Medium,41,0,71,3,0,2,24,3,9,4.9,0.3,1,0,4,8,0,8,1,5,7,1
1178,45,Female,Canada,Analyst,Tech,17,5,Medium,38,0,42,3,0,1,20,4,7,5.5,1.3,1,0,13,6,1,8,4,10,10,0
1179,26,Female,India,Designer,Operations,29,8,Medium,56,0,88,8,0,0,24,5,4,6.6,5.4,0,1,3,7,0,2,9,10,9,0
1180,55,Female,India,HR,HR,19,24,Medium,58,1,117,6,1,0,8,1,9,5.0,0.9,1,1,9,2,1,7,6,5,3,1
1181,27,Female,USA,Designer,Finance,7,15,Medium,46,1,57,1,1,3,7,4,9,8.2,4.6,1,0,12,6,0,8,10,2,9,0
1182,43,Female,Canada,Analyst,HR,7,11,High,63,1,104,3,1,1,4,5,3,7.9,2.2,1,1,7,6,1,7,8,5,8,0
1183,32,Female,Germany,HR,Finance,28,11,Low,59,1,51,4,1,3,27,4,10,8.4,4.0,0,0,0,4,0,6,8,1,5,1
1184,37,Female,Canada,Developer,Operations,7,22,Medium,40,1,75,2,1,2,1,10,8,4.7,0.4,0,1,10,4,0,3,5,1,6,1
1185,54,Female,USA,Manager,HR,7,11,Medium,38,1,68,6,0,0,20,10,1,7.9,1.7,1,1,8,2,1,3,8,4,1,0
1186,30,Female,Canada,Analyst,Finance,0,17,Low,47,1,96,10,1,1,7,7,2,7.7,2.5,0,1,10,3,1,8,4,6,6,0
