age,job_role,department,experience_years,company_type,work_mode,weekly_work_hours,overtime_hours,task_load_score,meeting_hours_per_week,schedule_flexibility,dependents_count,care_responsibility_hours,commute_time_minutes,work_life_balance_score,manager_support_score,team_support_score,mental_health_resources,gender_inclusive_policies,promotion_fairness_score,sleep_hours,stress_level,physical_activity_days,mental_health_days_taken,job_satisfaction,career_growth_score,skill_gap_score,ai_tool_usage_frequency,ai_assistance_type,training_hours_last_6_months,burnout_risk
29,HR,Tech,28,SME,Remote,62,5,5,14,10,0,23,114,1,4,3,1,1,1,6.9,8,5,3,9,9,8,5,None,76,0
35,HR,Operations,1,Startup,Onsite,33,5,10,17,8,3,12,68,6,4,1,0,1,1,5.6,7,1,0,6,1,2,5,Wellness,86,1
44,Designer,Operations,15,Startup,Remote,32,12,6,13,3,2,0,62,2,2,10,0,1,8,7.6,6,6,12,10,10,8,2,Scheduling,82,0
42,HR,Finance,12,MNC,Onsite,41,13,3,4,7,3,37,117,7,10,5,1,1,2,7.7,5,1,12,6,5,10,5,Scheduling,79,0
37,Designer,Finance,16,MNC,Remote,47,6,5,8,2,1,13,92,7,1,1,1,0,5,4,10,2,10,1,10,4,6,Wellness,24,1
39,Manager,Operations,20,SME,Onsite,52,12,1,12,8,2,16,55,4,10,9,1,1,2,8.2,5,3,2,7,2,9,5,Scheduling,89,0
45,Analyst,Operations,18,MNC,Onsite,49,14,8,18,9,0,12,16,2,9,7,0,1,4,5.1,8,3,13,3,5,4,5,Scheduling,84,1
47,HR,HR,6,MNC,Onsite,35,11,6,10,8,1,12,50,7,7,8,1,1,9,8.8,8,0,5,1,5,1,0,None,17,0
46,Analyst,Finance,7,SME,Remote,63,0,2,11,8,1,8,112,1,9,9,1,1,2,8.5,3,7,1,9,10,8,0,Learning,8,0
50,Analyst,Finance,12,SME,Onsite,31,2,4,2,8,2,5,36,2,2,10,1,1,4,5,9,1,7,8,1,1,0,Learning,87,0
36,Analyst,Tech,1,MNC,Onsite,59,17,4,1,7,0,5,87,2,10,8,1,1,10,7.2,3,2,6,4,4,5,0,Scheduling,16,0
22,Manager,HR,10,Startup,Hybrid,38,7,9,14,2,3,29,115,1,5,3,0,0,5,5.5,10,2,2,3,7,7,7,Scheduling,93,1
46,Developer,Operations,23,MNC,Hybrid,56,1,9,4,8,2,36,90,9,2,7,0,1,10,4.5,8,0,0,2,1,3,1,Wellness,3,1
28,HR,HR,5,Startup,Onsite,63,3,5,6,5,0,13,8,6,10,7,0,0,10,8.4,7,0,14,2,10,6,6,Scheduling,54,0
30,Developer,Operations,25,Startup,Hybrid,53,17,3,3,6,1,3,117,3,7,7,0,1,5,4.9,9,5,11,3,2,1,5,Wellness,53,1
45,Developer,Operations,6,Startup,Onsite,46,12,1,4,4,2,33,37,6,9,8,1,1,5,6.1,9,2,11,1,4,6,1,Learning,27,1
22,Developer,HR,18,SME,Hybrid,58,14,6,15,1,1,1,52,7,3,4,1,1,10,8.6,1,0,9,10,10,5,5,None,39,0
29,Analyst,Finance,5,SME,Remote,41,1,8,14,5,0,16,12,3,1,6,0,0,10,4.4,1,7,3,7,2,2,0,Wellness,8,0
45,Designer,Operations,28,SME,Remote,60,9,1,15,3,3,13,89,4,4,2,1,1,2,6.8,3,5,12,2,2,4,1,None,35,0
32,Analyst,HR,1,MNC,Onsite,38,1,1,3,9,3,16,52,10,4,7,1,0,8,6.9,7,3,3,6,1,7,1,Learning,7,0
38,Analyst,Tech,18,SME,Onsite,48,11,7,5,4,1,29,74,1,6,9,1,1,5,7.8,3,2,10,6,2,6,3,None,61,0
29,Developer,HR,3,SME,Remote,46,4,7,17,10,1,28,118,6,5,5,0,1,6,8.1,3,4,4,4,3,10,7,Learning,85,0
56,Analyst,Tech,5,MNC,Remote,31,11,2,2,2,1,6,87,6,5,4,0,1,8,6.1,4,1,2,4,4,6,2,None,88,0
56,Developer,Operations,27,MNC,Hybrid,34,0,3,4,4,2,8,118,9,9,2,0,1,8,7.7,8,1,14,1,1,9,3,None,48,0
54,Designer,HR,29,Startup,Onsite,45,1,2,1,3,0,22,96,2,1,7,1,0,10,8.6,1,4,10,6,1,2,4,Scheduling,69,0
26,HR,HR,6,MNC,Remote,46,15,6,15,3,1,35,48,5,8,2,1,1,7,8.4,4,4,1,8,7,1,3,Learning,89,0
49,Developer,Tech,8,MNC,Remote,56,1,8,5,5,1,13,69,5,8,2,1,0,8,6.5,4,6,14,10,5,2,2,Wellness,41,0
28,Designer,HR,24,SME,Onsite,36,15,8,14,1,1,19,34,7,8,9,0,0,10,7,8,7,1,4,7,3,2,Learning,1,1
30,HR,HR,32,Startup,Hybrid,37,19,1,17,5,3,16,15,5,3,2,0,1,7,7.4,7,3,7,1,10,9,3,Scheduling,30,0
29,Manager,Operations,0,Startup,Hybrid,37,15,9,5,8,1,31,12,10,10,10,0,0,10,8.1,4,7,12,4,9,10,5,Wellness,75,0
33,Developer,HR,5,MNC,Hybrid,52,5,8,12,10,0,24,107,4,8,3,0,0,6,6.5,8,2,6,2,1,9,6,Scheduling,18,0
55,Developer,Finance,17,SME,Hybrid,61,12,9,12,9,3,29,10,10,2,3,1,1,5,4.6,3,0,11,4,8,5,3,Learning,64,1
54,Manager,Tech,9,SME,Remote,47,11,9,0,1,0,26,86,2,8,2,1,0,5,5.9,10,1,13,8,10,7,7,Learning,73,1
44,Manager,HR,27,SME,Onsite,41,9,6,15,2,3,26,1,8,8,10,0,0,8,7.6,7,7,13,3,4,3,7,Scheduling,59,1
45,Developer,Tech,10,SME,Onsite,44,4,3,3,2,3,30,93,5,3,3,0,1,1,7.1,9,4,0,5,9,10,6,Wellness,61,1
58,Manager,Tech,32,MNC,Remote,57,7,1,16,6,2,25,18,4,4,9,1,1,2,7.8,6,7,11,10,2,2,5,Learning,59,0
56,Analyst,Tech,0,SME,Remote,60,5,8,17,1,3,13,103,9,9,3,1,0,1,6.5,4,6,12,2,9,6,4,Scheduling,97,1
43,HR,HR,12,Startup,Remote,38,4,10,15,1,3,20,44,2,9,5,0,0,10,4.9,4,2,8,9,8,6,7,Learning,15,1
48,HR,HR,19,Startup,Onsite,37,19,3,0,2,0,27,45,3,10,7,0,0,7,4.6,1,0,2,3,6,5,5,Scheduling,6,0
56,HR,Tech,0,MNC,Onsite,48,5,7,5,4,0,14,46,8,9,1,0,0,9,6.4,6,6,2,1,5,1,0,Learning,76,1
22,Analyst,Finance,2,SME,Onsite,37,16,10,10,2,1,29,48,4,10,1,1,0,7,5,3,1,0,7,3,10,7,Learning,67,1
56,Manager,Tech,17,SME,Hybrid,63,5,6,5,4,2,24,78,9,6,10,1,1,9,8.9,3,2,10,5,1,2,2,None,94,0
58,Designer,Finance,13,SME,Remote,33,16,3,16,3,3,10,116,10,1,2,1,0,4,5,1,1,3,9,6,7,0,Wellness,73,0
35,Manager,Tech,30,SME,Remote,60,4,6,3,3,2,10,41,10,8,1,1,0,7,6.8,7,3,9,3,10,10,5,Learning,11,1
24,Developer,Operations,26,MNC,Remote,32,16,3,13,9,1,27,32,10,9,1,1,1,10,4,9,6,13,1,5,2,4,Wellness,97,1
22,HR,Tech,16,SME,Onsite,64,16,9,13,8,2,4,107,10,8,10,0,1,10,5.3,3,1,14,7,8,5,1,Scheduling,91,0
26,Manager,Tech,28,MNC,Remote,48,12,1,19,10,3,27,40,9,1,4,0,0,7,5.3,7,7,11,8,1,10,1,None,4,0
47,Designer,HR,25,SME,Remote,58,6,8,7,9,0,7,118,10,6,10,0,1,10,7.7,9,3,10,2,10,4,5,Scheduling,91,1
35,Developer,Finance,16,SME,Hybrid,39,5,5,1,1,2,25,68,9,9,3,0,0,10,6.5,3,3,1,2,1,10,7,Wellness,46,0
48,Analyst,Operations,21,Startup,Onsite,41,13,4,4,5,3,5,85,1,9,1,0,1,2,4.1,9,3,11,9,7,1,0,Scheduling,10,1
30,Analyst,Finance,24,MNC,Remote,59,15,1,3,4,1,31,90,6,7,3,1,1,2,5.9,2,0,13,4,8,5,6,Scheduling,33,0
36,Designer,Operations,1,Startup,Onsite,59,2,9,9,9,3,31,110,10,7,1,0,1,8,7.2,3,5,2,1,10,1,3,Scheduling,78,0
36,Developer,Tech,21,MNC,Onsite,47,8,9,19,3,2,11,98,6,4,3,0,1,2,7.2,4,0,11,9,1,3,2,Wellness,50,0
47,HR,HR,4,SME,Onsite,53,14,5,2,5,3,5,18,8,7,4,0,1,1,4.3,7,3,10,9,9,9,6,Learning,4,1
34,Manager,HR,3,SME,Hybrid,61,17,9,15,8,3,12,38,7,10,8,1,0,1,8.6,9,2,12,6,7,7,0,Scheduling,47,0
53,Developer,Finance,5,MNC,Onsite,38,9,10,9,10,2,38,6,7,5,3,0,0,1,5.2,1,5,0,6,7,2,3,Wellness,84,0
53,Analyst,HR,20,Startup,Onsite,53,9,9,14,5,2,39,38,2,10,3,1,1,6,8.5,9,5,2,9,8,5,4,None,30,0
25,Designer,Finance,12,MNC,Onsite,55,2,7,3,9,1,33,97,4,5,9,0,1,5,5.1,10,3,13,2,8,4,7,None,39,1
51,Designer,Finance,24,MNC,Remote,32,0,8,0,2,3,22,33,1,1,9,0,1,7,6.8,5,6,3,9,1,7,3,Wellness,6,0
58,Manager,Operations,25,SME,Hybrid,52,2,1,14,6,0,16,90,7,2,6,1,1,3,6,4,2,14,4,4,4,4,Scheduling,98,0
44,Designer,Finance,19,Startup,Remote,40,4,4,9,5,2,0,43,4,9,10,0,0,5,6.9,6,1,5,4,9,9,7,Learning,84,0
36,Designer,Operations,32,MNC,Hybrid,39,6,10,19,9,3,6,68,9,2,4,0,1,2,6.5,10,0,2,9,3,3,0,None,39,1
50,Developer,HR,13,Startup,Hybrid,42,2,10,17,7,0,12,67,6,10,10,1,1,9,4,5,2,10,7,6,6,1,Learning,68,0
57,HR,Finance,16,Startup,Onsite,58,3,4,15,8,0,13,62,6,2,5,0,0,9,5.8,5,5,5,10,4,5,5,Wellness,13,0
34,Manager,Finance,20,MNC,Onsite,42,16,9,8,7,3,16,70,9,9,9,1,1,4,4.1,5,2,11,5,1,10,2,None,97,1
53,Developer,Tech,15,Startup,Remote,55,2,3,18,10,3,29,47,8,3,1,1,0,2,7.4,8,7,11,8,3,8,0,Scheduling,9,0
28,HR,Finance,15,SME,Hybrid,49,3,10,16,10,3,33,2,6,2,7,1,1,10,8.3,10,2,1,1,3,1,6,None,81,1
43,Developer,Finance,19,SME,Onsite,34,1,10,9,5,0,26,84,6,7,7,1,1,8,5.9,8,4,14,7,3,10,7,Scheduling,80,1
49,Developer,Tech,28,SME,Onsite,49,13,1,18,5,3,24,33,6,9,10,1,0,4,6.6,10,0,13,4,6,2,1,Learning,48,0
23,Designer,Tech,27,SME,Onsite,43,4,5,7,4,2,34,112,4,6,1,0,1,5,4.3,4,4,13,2,9,7,4,None,95,1
27,HR,HR,7,Startup,Onsite,43,1,7,18,2,0,8,8,5,7,1,0,0,4,5.9,9,1,10,2,7,1,2,Wellness,16,1
49,Manager,Finance,23,SME,Remote,37,14,4,4,9,2,5,60,3,3,9,0,0,2,4.7,8,2,7,9,7,5,3,None,85,0
49,Manager,HR,2,MNC,Remote,42,10,9,1,10,2,25,19,9,3,7,1,0,6,4.3,6,0,4,6,1,8,7,Scheduling,88,1
41,HR,HR,24,SME,Onsite,53,9,6,14,10,3,37,39,2,8,4,0,0,1,4.9,2,7,0,4,9,10,0,Learning,50,0
51,Designer,Tech,18,MNC,Onsite,44,19,6,16,10,2,38,11,7,7,9,1,1,8,8.4,9,7,5,2,4,5,3,Wellness,79,0
32,Analyst,Operations,32,MNC,Onsite,30,0,3,9,10,3,26,102,1,5,5,0,1,1,8.9,6,7,2,7,8,5,2,Scheduling,61,0
49,Developer,HR,1,SME,Onsite,51,18,10,1,3,0,39,109,10,6,3,1,0,5,8.4,8,5,3,9,1,9,0,Scheduling,29,1
46,Designer,Operations,14,SME,Onsite,63,13,10,8,3,2,30,27,7,9,2,1,0,9,8.8,6,0,9,2,8,5,6,Wellness,54,1
54,HR,Finance,21,Startup,Hybrid,32,13,5,1,3,3,2,47,2,3,9,0,0,1,7.7,5,0,7,4,9,1,0,Wellness,33,0
22,Developer,Tech,9,MNC,Hybrid,55,0,10,17,8,1,23,96,5,3,4,0,0,10,4.8,7,2,7,1,5,3,6,Learning,68,1
48,Manager,Finance,17,SME,Hybrid,43,8,6,11,6,3,14,73,1,6,7,0,0,7,6.8,4,5,10,1,7,5,7,Scheduling,32,0
34,Analyst,Finance,21,Startup,Hybrid,37,16,4,14,1,1,5,74,5,8,1,1,1,7,7.7,10,3,12,3,10,8,5,Scheduling,4,1
24,Manager,Tech,26,SME,Onsite,45,13,3,19,3,3,10,6,4,5,9,0,1,5,6.6,3,6,7,1,2,10,3,Learning,41,0
27,HR,Finance,12,SME,Hybrid,50,12,5,5,4,1,29,81,1,1,9,1,0,4,6.8,7,3,11,4,1,2,3,None,2,1
29,Developer,Tech,32,SME,Hybrid,39,12,7,17,2,2,34,82,1,3,10,0,1,9,6.9,2,3,4,6,6,4,6,Wellness,62,0
48,HR,Operations,4,MNC,Remote,54,5,6,12,6,1,37,13,7,8,6,1,1,5,6.3,10,4,12,5,9,4,6,Learning,37,1
30,Developer,Finance,25,SME,Hybrid,51,6,2,3,10,2,39,80,3,4,6,1,0,1,5.5,3,2,13,9,1,3,1,Wellness,12,0
58,Designer,Tech,12,Startup,Hybrid,33,1,1,11,1,2,28,86,10,9,6,0,1,9,7.2,1,1,0,2,10,6,5,Learning,7,0
54,Analyst,HR,26,SME,Onsite,33,7,5,8,1,3,22,18,9,6,5,0,0,5,4.3,1,7,8,2,1,10,6,Learning,60,0
45,Designer,Finance,13,SME,Hybrid,59,5,5,1,8,2,2,53,9,10,1,0,0,9,4.9,2,4,13,3,4,2,3,Scheduling,29,0
36,Designer,Operations,23,Startup,Hybrid,31,2,6,15,4,0,25,59,10,4,4,1,1,8,8.6,1,0,10,4,10,3,4,Wellness,49,0
53,HR,Tech,2,Startup,Onsite,58,17,3,0,1,1,13,108,9,4,10,1,1,10,6.4,2,3,8,9,6,2,1,Learning,68,0
53,Analyst,Finance,29,MNC,Hybrid,50,17,1,3,7,3,18,118,1,10,1,0,0,7,8.1,1,0,7,6,9,10,3,Scheduling,37,0
45,Developer,Finance,34,MNC,Onsite,50,5,4,14,9,2,20,66,4,5,5,0,1,6,7.6,3,4,10,9,2,8,0,Learning,58,0
33,Developer,Finance,13,MNC,Hybrid,50,10,4,19,10,1,20,33,1,7,4,0,0,9,5.6,9,7,2,5,5,2,3,Wellness,94,0
23,Manager,Operations,11,MNC,Remote,33,2,10,0,7,1,8,88,1,7,8,1,0,4,8,9,5,5,9,7,5,5,Learning,1,0
24,Developer,Tech,27,Startup,Remote,30,15,2,19,1,0,12,40,9,10,1,1,0,5,4.5,8,3,6,9,4,4,6,Scheduling,56,0
58,HR,HR,28,SME,Hybrid,55,4,8,14,1,1,36,30,5,7,8,0,0,1,8.4,9,2,3,1,6,1,2,Scheduling,6,1
38,Designer,HR,16,SME,Remote,31,1,6,2,1,3,37,38,1,5,8,0,0,7,7.4,4,3,14,9,6,7,1,None,79,0
23,Designer,HR,20,SME,Onsite,38,14,3,12,8,3,23,77,3,9,1,1,0,6,8.6,8,3,11,7,4,6,6,Wellness,9,0
23,Designer,Tech,22,MNC,Hybrid,47,15,1,17,7,2,37,100,7,2,9,1,0,7,8.5,5,5,9,8,4,10,0,None,28,0
49,Analyst,HR,19,Startup,Onsite,40,6,3,12,3,2,10,51,2,8,9,0,1,1,5.9,4,3,6,3,9,1,3,Scheduling,93,0
44,Developer,Operations,10,Startup,Remote,54,15,8,9,3,3,28,46,4,10,6,0,1,7,8.3,4,7,8,1,1,9,6,None,83,0
58,HR,Tech,33,Startup,Onsite,55,3,4,19,3,1,37,19,2,8,1,0,0,7,6.8,2,4,5,4,5,4,6,Wellness,33,0
53,Analyst,Finance,9,SME,Remote,64,15,3,6,2,1,16,95,9,3,7,1,1,8,4.8,10,3,1,1,9,1,2,Scheduling,71,1
54,Manager,Operations,9,MNC,Remote,32,16,4,7,4,0,25,96,9,5,7,0,1,2,8.1,9,5,5,1,9,8,1,None,97,1
22,HR,Finance,5,Startup,Remote,64,1,4,0,7,2,25,51,7,8,9,1,0,1,8.5,9,4,12,4,9,1,1,None,97,0
40,HR,HR,23,MNC,Onsite,51,15,2,17,9,1,11,94,7,10,1,0,0,1,4.4,1,7,2,8,2,2,6,Scheduling,44,0
23,HR,Operations,11,Startup,Remote,37,3,4,11,3,1,17,70,2,9,8,0,1,8,8.7,4,0,6,1,7,5,1,Learning,99,0
47,Designer,Tech,22,MNC,Hybrid,44,6,9,17,10,2,8,61,10,7,8,0,0,7,7,9,2,2,10,10,1,7,Scheduling,70,0
53,HR,Operations,26,Startup,Remote,36,17,4,11,7,3,2,4,8,4,7,0,1,9,4.1,4,7,11,10,8,1,0,None,57,0
27,Developer,Finance,5,MNC,Hybrid,48,5,1,19,4,1,9,56,1,4,6,0,0,2,6.7,2,3,12,9,1,6,7,Wellness,77,0
53,HR,Tech,0,Startup,Hybrid,46,17,1,8,1,0,1,3,8,3,1,0,0,4,8,2,4,7,6,2,1,3,None,83,0
25,Designer,Operations,5,Startup,Hybrid,30,6,1,1,5,1,7,10,5,8,10,1,0,8,6.7,10,3,10,5,1,5,0,Scheduling,32,0
32,HR,Operations,21,MNC,Hybrid,58,1,5,13,8,1,17,18,4,6,8,1,0,6,7.5,9,3,10,9,9,10,4,None,94,0
38,Manager,Operations,23,MNC,Onsite,42,18,6,3,3,0,38,101,10,10,5,0,1,2,8.4,4,5,4,9,10,5,3,Scheduling,96,0
59,Manager,Operations,24,SME,Hybrid,58,8,6,14,10,3,30,83,2,6,4,1,0,10,8.3,1,3,12,9,5,2,4,None,89,0
45,Designer,Tech,14,MNC,Remote,35,3,6,16,4,0,13,26,3,10,5,1,0,2,4.9,1,1,2,3,4,3,3,None,89,0
26,Developer,Finance,25,Startup,Hybrid,34,13,9,18,3,0,38,28,10,10,5,1,0,7,6.1,1,2,12,8,8,3,6,Learning,50,0
55,Developer,Operations,7,Startup,Remote,63,4,1,5,10,2,32,17,2,9,10,1,1,9,4.6,8,2,0,10,3,3,1,Scheduling,63,0
27,Analyst,Tech,23,MNC,Onsite,40,6,10,8,8,1,28,36,4,3,3,0,1,8,7,1,4,4,4,8,3,0,Learning,37,0
